name,sku,category_name,price,description
"Эспрессо-Тоник","ESPRESSO_TONIC","Чай и Кофе",8.00,"Эспрессо, тоник"
"Бамбл ананас + малина","BUMBLE_PINEAPPLE_RASPBERRY","Чай и Кофе",8.50,"Лед, сироп малина, сок ананасовый, эспрессо. Выход 350мл"
"Айс латте малина + мята","ICE_LATTE_RASPBERRY_MINT","Чай и Кофе",8.50,"Лед, сироп малина, сироп мята, молоко, эспрессо. Выход 350мл"
"Апельсиновый эспрессо тоник","ORANGE_ESPRESSO_TONIC","Чай и Кофе",8.50,"Лед, швепс тоник, апельсиновый сок, эспрессо. Выход 350мл"
"Флэт уайт","FLAT_WHITE","Чай и Кофе",9.00,"2й эспрессо и молоко выход 280мл"
"Айс латте с синим апельсином","ICE_LATTE_BLUE_ORANGE","Чай и Кофе",8.50,""
"Глентвейн (Напиток Чайный Фруктовый) 750мл","GLINTWEIN_750","Чай и Кофе",14.00,"Безалкогольный чайный напиток по мотивам классического европейского глинтвейна."
"Лонг Токио Айс Ти 500мл","LONG_TOKYO_500","Коктейли Алкогольные",17.00,"Лед, Джин, текила, ром, водка, сироп дыня, сахарный сироп, спрайт. Выход 550мл"
"Лонг Айленд Айс Ти 500мл","LONG_ISLAND_500","Коктейли Алкогольные",17.00,"Лед, Белый ром, Текила, Водка, Джин, Ликер Трипл Сек, Кола, Лимон. Выход 550мл"
"Лонг Бич Айсс Ти 500мл","LONG_BEACH_500","Коктейли Алкогольные",17.00,"Лед, Белый ром, Текила, Водка, Джин, Клюквенный морс, Лимон. Выход 550мл"
"Лонг Adios MF 500мл","LONG_ADIOS_500","Коктейли Алкогольные",17.00,"Лед, Джин, текила, ром, водка, сахарный сироп, блю кюросао, спрайт, лимон. Выход 550мл"
"Секс на пляже","SEX_ON_BEACH","Коктейли Алкогольные",12.00,"Лед, Водка, трипл-сек, морс, ананасовый сок, апельсин. Выход 350мл"
"Голубая Лагуна","BLUE_LAGOON","Коктейли Алкогольные",10.00,"Лед, Водка, лимонный сок, блю кюрасао, спрайт, лимон. Выход 350мл"
"Пина Колада","PINA_COLADA","Коктейли Алкогольные",12.00,"Лед, Ром, сливки, ананасовый сок, кокосовый сироп. Выход 350мл"
"Текила Санрайз","TEQUILA_SUNRISE","Коктейли Алкогольные",12.00,"Лед, Текила, гренадин, сок апельсиновый, апельсин. Выход 350мл"
"Виски-Кола","WHISKEY_COLA","Коктейли Алкогольные",10.90,"Гарантирует не только приятные впечатления и равномерно опьяняющий эффект. Выход 250мл"
"Апероль Мартини","APEROL_MARTINI","Коктейли Алкогольные",14.50,"Апероль, мартини, швепс слайс фрукта. Выход 400мл"
"Апероль Апельсин","APEROL_ORANGE","Коктейли Алкогольные",13.00,"Аперооль, сок апельсина, слайс фрукта. Выход 400мл"
"Апероль спритц","APEROL_SPRITZ","Коктейли Алкогольные",13.50,"Апероль, сухое белое вино, газированая вода, слайс фрукта. Выход 400мл"
"Пробковый сбор (алкоголь)","CORK_FEE_ALCOHOL","Спиртные Напитки",20.00,"ВСЕГО 20.00 РУБЛЕЙ ЗА ОДНУ БУТЫЛКУ ВАШЕГО АЛКОГОЛЯ. В услугу входят - БОКАЛЫ ПОД ВАШИ НАПИТКИ, ЛЕД ПО НЕБХОДИМОСТИ, УБОРКА СТОЛИКА."
"WILD LEGEND BEAR (Дикая Легенда Медведь) 50мл","WILD_LEGEND_BEAR_50","Водка",3.50,"Настой имбиря и апельсиновая цедра в составе придают водке уникальный вкус: согревающую имбирную теплоту, насыщенные цитрусовые тона."
"Сябры Морозная 50мл","SYABRY_MOROZNAYA_50","Водка",3.00,"Качественная белорусская водка премиального сегмента. Получила признание мировых экспертов."
"Сваяк Стандарт 50мл","SVAYAK_STANDART_50","Водка",3.00,"Сбалансированный вкус, чистый аромат. В производстве используется высококачественный спирт нового поколения Белальфа."
"Сябры 50мл","SYABRY_50","Водка",3.00,"Качественная белорусская водка премиального сегмента."
"Джонни Уокер Red Label 50мл","JOHNNIE_WALKER_RED_50","Виски",9.00,"Купаж из более чем 35 различных видов спиртов, собранных со всего восточного побережья Шотландии."
"Виски Amber Hills 50мл","AMBER_HILLS_50","Виски",5.30,""
"O'CONALL & SONS 50мл","OCONALL_SONS_50","Виски",5.50,"Ирландский купажированный виски, произведенный с помощью тройной перегонки."
"Араспел 50мл","ARASPEL_50","Коньяк",6.50,"Название в переводе с армянского означает миф, легенда. Создан на основе удачного купажа молодых коньячных спиртов."
"Коньяк Armenian Brandy 8 лет 50мл","ARMENIAN_BRANDY_8_50","Коньяк",6.50,"Глубокий янтарный цвет с оттенком красного дерева. Сложный насыщенный аромат жареного фундука, апельсиновых цукатов."
"Коньяк Легенда Армении 5 звезд 50мл","LEGENDA_ARMENII_50","Коньяк",6.50,"Глубокого янтарного оттенка. Аромат: сухофрукты, ваниль и цветы. Вкус: шоколад, пряности."
"Martini Bianco 150мл","MARTINI_BIANCO_150","Вермут",20.00,"Итальянский вермут. Ароматы пряностей, трав, цветов, фруктов. Вкус легкий и деликатный."
"Старка Премиум берри бленд 500мл","STARSKA_BERRY_500","Настойки",30.00,"Сочная, свежая с легким нюансом ржаного дистиллята. Яркий ягодный бленд земляники, малины и черники."
"Старка 50мл","STARSKA_50","Настойки",3.00,"Легендарный для Беларуси спиртной напиток с XV века. Ржаная водка с фруктовыми тонами."
"Кроненбург 1664 Бланк 0.45л (разлив)","KRONENBURG_1664_045","Разливное Пиво",7.00,""
"Туборг грин 0.45л (разлив)","TUBORG_GREEN_045","Разливное Пиво",5.50,""
"Аливария Пшеничное безалкогольное 0.45л (разлив)","ALIVARIA_PSHEN_BEZALK_045","Разливное Пиво",4.50,""
"Аливария Золотое 0.5л","ALIVARIA_ZOLOTOE_05","Бутылочное Пиво",5.50,"Классический пилснер. Напиток цвета золота с ароматами зерна и свежей выпечки."
"Zatecky Gus Cerny 0.5л","ZATECKY_GUS_CERNY_05","Бутылочное Пиво",5.00,"Традиционное темное пиво, варится на смеси солодов и жатецком хмеле из Чехии."
"Аливария 1894 Premium","ALIVARIA_1894_PREMIUM","Бутылочное Пиво",5.00,"Классический легко пьющийся лагер с богатым вкусом и ароматом."
"Квас Аливарский 0.5л","KVAS_ALIVARSKIY_05","Бутылочное Пиво",2.00,"Натуральный хлебный квас брожения. Освежающий кисло-сладкий вкус."
"Райлис Гараж Вишня","RAILYS_GARAGE_VISHNYA","Бутылочное Пиво",6.00,"Напиток Пивной, со вкусом Вишни."
"Райлис Гараж Лимон","RAILYS_GARAGE_LIMON","Бутылочное Пиво",6.00,"Напиток Пивной, со вкусом Лимона."
"Tuborg Green","TUBORG_GREEN","Бутылочное Пиво",4.00,"Знаменитое пиво, которое дарит море веселья, энергии. Светлый лагер. Крепость 4,6%."
"Балтика №7 Экспортное","BALTIKA_7","Бутылочное Пиво",3.90,"Светлое фильтрованное пиво, классический европейский лагер, мягкий и насыщенный вкус."
"Аливария Золотое","ALIVARIA_ZOLOTOE","Бутылочное Пиво",3.90,"Самый популярный сорт линейки Аливария. Богатый сухой вкус с фруктовым ароматом."
"Балтика Пшеничное 0 Безалкогольное 0.45л","BALTIKA_PSHEN_BEZALK_045","Бутылочное Пиво",5.00,""
"Кроненбург 1664 Бланк 0.5л","KRONENBURG_1664_05","Бутылочное Пиво",7.00,""
"Цинандали Белое Сухое 150мл","TSINANDALI_150","Белые вина",10.50,"Соломенного цвета с зеленоватым оттенком. Тона ядер лесных орехов и белых персиков."
"Пиросмани Белое Полусухое 150мл","PIROSMANI_WHITE_150","Белые вина",9.00,"Золотисто-соломенного цвета с тонким ароматом желтых слив. Вкус мягкий, сладкий."
"Алазанская Долина белое полусладкое 150мл","ALAZANSKAYA_DOLINA_WHITE_150","Белые вина",7.50,"Изготовлено из винограда сорта ркацители. Мягкий гармоничный вкус с фруктовыми тонами."
"Саперави Полусухое Красное 150мл","SAPERAVI_150","Красные вина",9.00,"Изумительное рубиновое вино – гордость Грузии. Изысканный вкус и томительное послевкусие."
"Алазанская Долина Полусладкое 150мл","ALAZANSKAYA_DOLINA_RED_150","Красные вина",9.50,"Изготовлено из винограда сорта саперави. Насыщенный темно-гранатовый цвет."
"Jean-Jacques Legrande Cabernet Sauvignon 150мл","CABERNET_SAUVIGNON_150","Красные вина",6.00,"Тонкое элегантное вино темно-рубинового цвета. Терпкий вкус с тонами красной смородины."
"Пиросмани Красное Полусухое 150мл","PIROSMANI_RED_150","Красные вина",9.00,"Молодое, полнотелое вино с вкусовыми сочетаниями сладких фруктов и черных ягод."
"Вино Pirovano Sangiovese Rubicone 150мл","SANGIOVESE_RUBICONE_150","Красные вина",9.00,"Красное сухое вино."
"Вино SIMPHONIA ROSSO 150мл","SIMPHONIA_ROSSO_150","Красные вина",10.00,"Сухое красное вино."
"Киндзмараули красное полусладкое 150мл","KINDZMARAULI_150","Красные вина",10.00,"Грузинское вино, кахетинского региона."
"Dolce Moscato","DOLCE_MOSCATO","Игристые Вина",20.00,"Нежнейшее сочетание цветочного аромата и бархатистого вкуса с нотками чайной розы, кураги."
"Советское Шампанское Полусухое","SOVETSKOE_SHAMP_POLUSUHOE","Игристые Вина",17.00,"Гармоничный вкус, где легкая сладость уравновешивается освежающей кислинкой."
"Советское Шампанское Экспортная Серия Брют 750мл","SOVETSKOE_SHAMP_BRUT_750","Игристые Вина",25.00,"Красивый светлый соломенный цвет с блеском. Белоцветочный аромат с фруктовыми нотами."
"Советское Шампанское Экспортная Серия Полусухое 750мл","SOVETSKOE_SHAMP_POLUSUHOE_750","Игристые Вина",25.00,"Красивый светлый соломенный цвет с блеском."
"Советское Шампанское Экспортная Серия Полусладкое 750мл","SOVETSKOE_SHAMP_POLUSLADKOE_750","Игристые Вина",25.00,"Красивый светлый соломенный цвет с блеском."
"Contessa полусухое 750мл","CONTESSA_POLUSUHOE_750","Игристые Вина",25.00,"Гармоничное переплетение цветочных мотивов со свежими тонами спелых фруктов."
"Contessa полусладкое 750мл","CONTESSA_POLUSLADKOE_750","Игристые Вина",25.00,"Гармоничное переплетение цветочных мотивов со свежими тонами спелых фруктов."
"Суши Бургер с форелью с/с","SUSHI_BURGER_FOREL","Суши Бургер",23.50,"Нори, рис, сыр творожный, форель с/с, огурец, кляр, панко. Выход: 330г"
"Суши Бургер с курицей","SUSHI_BURGER_CHICKEN","Суши Бургер",17.00,"Нори, рис, сыр творожный, филе куриное, помидор, соус цезарь, сыр чеддер, кляр, панко. Выход: 350г"
"Суши Бургер с креветкой спайси","SUSHI_BURGER_KREVETKA","Суши Бургер",20.50,"Нори, рис, сыр творожный, икра, креветка, соус спайси, огурец, кляр, панко. Выход: 325г"
"Суши Бургер с Тунцом","SUSHI_BURGER_TUNETS","Суши Бургер",21.50,"Нори, рис, сыр творожный, тунец, лук перо, кунжутный соус. Выход: 320г"
"Запеченный маки с Форелью с/с и Огурцом","ZAPECH_MAKI_FOREL","Запеченные Роллы",15.00,"Нори, рис, форель с/с, кунжут семя, сырная шапка, терияки соус. Порция 8шт."
"Запеченый Ролл с Креветкой и Огурцом","ZAPECH_ROLL_KREVETKA","Запеченные Роллы",15.50,"Нори, рис, креветка, икра тобико, огурец, шапка сырная, соус терияки. Порция 8шт."
"Запеченый Ролл с Тунцом и Такуаном","ZAPECH_ROLL_TUNETS","Запеченные Роллы",14.50,"Нори, рис, тунец, такуан, шапка сырная, соус терияки. Порция 8шт."
"Сет 8 МАРТА","SET_8_MARTA","Суши Сеты",55.00,"ПРЕДЗАКАЗ на 6,7,8 МАРТА - Филадельфия классическая - Филадельфия с креветкой - тар тар. Порция: 24шт, вес: 800г"
"СЕТ ТРИО","SET_TRIO","Суши Сеты",50.00,"ФИЛАДЕЛЬФИЯ С КРЕВЕТКОЙ - ФИЛАДЕЛЬФИЯ С ОГУРЦОМ - ФИЛАДЕЛЬФИЯ С ФОРЕЛЬЮ В БЕКОНЕ. Порция: 24шт, вес: 770г"
"Сет ГРАДИЕНТ","SET_GRADIENT","Суши Сеты",50.00,"филадельфия с огурцом - грин ролл - ролл с темпурной креветкой и тобико"
"УРАМАКИ сет","SET_URAMAKI","Суши Сеты",86.00,"Филадельфия классическая - Широ - Бонито с форелью с/с и огурцом - Грин Ролл - Калифорния с тунцом и огурцом. Порция: 40шт, вес: 1225г"
"Комбо сет","SET_KOMBO","Суши Сеты",65.00,"Филадельфия с огурцом - Опал Чеддер - Овощной ролл - Маки с форелью и огурцом - Маки с тунцом и такуаном. Порция: 40шт, вес: 1145г"
"Темпура Сяке сет","SET_TEMPURA_SAKE","Суши Сеты",47.00,"Этна Хот, Ямато Хот, Мазури Хот. Порция: 24шт, вес: 810г"
"МАКИ Сет","SET_MAKI","Суши Сеты",50.00,"Маки с Форелью и Огурцом, Маки С Креветкой, Маки с Тунцом и Такуаном, Маки с форелью с/с и икрой. Порция: 32шт"
"Темпура Сет","SET_TEMPURA","Суши Сеты",47.00,"Темпура с Тунцом Чили, Темпура с Жаренной Форелью, Темпура с Креветкой и Спайси. Порция: 24шт"
"Филадельфия Сет","SET_PHILADELPHIA","Суши Сеты",50.00,"Филадельфия классическая, Филадельфия с авокадо, Филадельфия с огурцом. Порция: 24шт, вес: 730г"
"ФУТО Сет","SET_FUTO","Суши Сеты",62.00,"Футо с Креветкой и Спайси, Футо Цезарь, Футо с Тунцом и Форелью. Порция: 24шт"
"Сет Влюбленных","SET_VLYUBLENNYH","Суши Сеты",58.00,"Филадельфия с огурцом, Филадельфия с креветкой и сладким перцем, Калифорния ЧИЗ с тунцом и айсбергом. Порция: 24шт, вес: 850г"
"Пицца Итальяно 30см","PIZZA_ITALYANO_30","Пицца",29.00,"Соус Песто, моцарелла, форель с/с, зелень"
"Пицца Итальяно 40см","PIZZA_ITALYANO_40","Пицца",52.00,"Соус Песто, моцарелла, форель с/с, зелень"
"Пицца Итальяно 30см + Сырный борт","PIZZA_ITALYANO_30_CHEESE","Пицца",33.00,"Соус Песто, моцарелла, форель с/с, зелень"
"Пицца Тоскана 30см","PIZZA_TOSKANA_30","Пицца",26.50,"Соус томатный, Моцарелла, Ветчина, соус Песто"
"Пицца Тоскана 40см","PIZZA_TOSKANA_40","Пицца",50.50,"Соус томатный, Моцарелла, Ветчина, соус Песто"
"Пицца Тоскана 30см + Сырный борт","PIZZA_TOSKANA_30_CHEESE","Пицца",30.50,"Соус томатный, Моцарелла, Ветчина, соус Песто"
"Пицца ДЬЯБЛО 30см","PIZZA_DIABLO_30","Пицца",24.00,"Томатный соус, моцарелла, пепперони, халапеньо"
"Пицца ДЬЯБЛО 40см","PIZZA_DIABLO_40","Пицца",38.00,"Томатный соус, моцарелла, пепперони, халапеньо"
"Пицца ДЬЯБЛО 30см + Сырный борт","PIZZA_DIABLO_30_CHEESE","Пицца",28.00,"Томатный соус, моцарелла, пепперони, халапеньо"
"Пицца с Креветкой и Беконом 30см","PIZZA_KREVETKA_BACON_30","Пицца",40.00,"Соус чесночный, Моцарелла, Бекон, Креветка королевская, Томат Черри, Лимон"
"Пицца с Креветкой и Беконом 40см","PIZZA_KREVETKA_BACON_40","Пицца",72.00,"Соус чесночный, Моцарелла, Бекон, Креветка королевская, Томат Черри, Лимон"
"Пицца с Креветкой и Беконом 30см + Сырный борт","PIZZA_KREVETKA_BACON_30_CHEESE","Пицца",44.00,"Соус чесночный, Моцарелла, Бекон, Креветка королевская, Томат Черри, Лимон"
"Пицца Баварский микс 30см","PIZZA_BAVARSKIY_30","Пицца",29.00,"Гриль соус, бекон, пепперони, охотничьи колбаски, лук маринованный, горчичный соус"
"Пицца Баварский микс 40см","PIZZA_BAVARSKIY_40","Пицца",50.00,"Гриль соус, бекон, пепперони, охотничьи колбаски, лук маринованный, горчичный соус"
"Пицца Баварский микс 30см + Сырный борт","PIZZA_BAVARSKIY_30_CHEESE","Пицца",33.00,"Гриль соус, бекон, пепперони, охотничьи колбаски, лук маринованный, горчичный соус"
"Пицца Чеддеронни 30см","PIZZA_CHEDDARONNI_30","Пицца",35.00,"Сырный соус, моцарелла, охотничьи колбаски, пепперони, помидор, сыр чеддер, лук жаренный"
"Пицца Чеддеронни 40см","PIZZA_CHEDDARONNI_40","Пицца",65.00,"Сырный соус, моцарелла, охотничьи колбаски, пепперони, помидор, сыр чеддер, лук жаренный"
"Пицца Чеддеронни 30см + Сырный борт","PIZZA_CHEDDARONNI_30_CHEESE","Пицца",39.00,"Сырный соус, моцарелла, охотничьи колбаски, пепперони, помидор, сыр чеддер, лук жаренный"
"Пицца Тайская 30см","PIZZA_TAYSKAYA_30","Пицца",42.00,"Острый соус том ям, моцарелла, креветка, мидии, томат, перец чили"
"Пицца Тайская 40см","PIZZA_TAYSKAYA_40","Пицца",70.00,"Острый соус том ям, моцарелла, креветка, мидии, томат, перец чили"
"Пицца Тайская 30см + Сырный борт","PIZZA_TAYSKAYA_30_CHEESE","Пицца",46.00,"Острый соус том ям, моцарелла, креветка, мидии, томат, перец чили"
"Пицца Торпедо 30см","PIZZA_TORPEDO_30","Пицца",26.00,"Томатная паста, Филе цыплёнка, Бекон, огурец маринованный, Лук, Шампиньоны, Соус сметанный"
"Пицца Торпедо 40см","PIZZA_TORPEDO_40","Пицца",47.00,"Томатная паста, Филе цыплёнка, Бекон, огурец маринованный, Лук, Шампиньоны, Соус сметанный"
"Пицца Торпедо 30см + Сырный борт","PIZZA_TORPEDO_30_CHEESE","Пицца",30.00,"Томатная паста, Филе цыплёнка, Бекон, огурец маринованный, Лук, Шампиньоны, Соус сметанный"
"Пицца Тропиканка 30см","PIZZA_TROPIKANKA_30","Пицца",29.00,"Соус чесночный, моцарелла, филе курин., ананас консерв., халопеньо, сладкий чили соус"
"Пицца Тропиканка 40см","PIZZA_TROPIKANKA_40","Пицца",52.00,"Соус чесночный, моцарелла, филе курин., ананас консерв., халопеньо, сладкий чили соус"
"Пицца Тропиканка 30см + Сырный борт","PIZZA_TROPIKANKA_30_CHEESE","Пицца",33.00,"Соус чесночный, моцарелла, филе курин., ананас консерв., халопеньо, сладкий чили соус"
"Пицца Сицилия 30см","PIZZA_SICILIYA_30","Пицца",27.00,"Моцарелла, чесночный соус, филе куриное, колбаски охотничьи, лук маринованый, перец болгарский, маслины, перец халопеньо"
"Пицца Сицилия 40см","PIZZA_SICILIYA_40","Пицца",45.00,"Моцарелла, чесночный соус, филе куриное, колбаски охотничьи, лук маринованый, перец болгарский, маслины, перец халопеньо"
"Пицца Сицилия 30см + Сырный борт","PIZZA_SICILIYA_30_CHEESE","Пицца",31.00,"Моцарелла, чесночный соус, филе куриное, колбаски охотничьи, лук маринованый, перец болгарский, маслины, перец халопеньо"
"Пицца Гранд 30см","PIZZA_GRAND_30","Пицца",55.00,"Сливочный соус, зелень, моцарелла, креветка, лосось с/с, мидии, сыр дор блю, томат, лимон"
"Пицца Гранд 40см","PIZZA_GRAND_40","Пицца",95.00,"Сливочный соус, зелень, моцарелла, креветка, лосось с/с, мидии, сыр дор блю, томат, лимон"
"Пицца Гранд 30см + Сырный борт","PIZZA_GRAND_30_CHEESE","Пицца",59.00,"Сливочный соус, зелень, моцарелла, креветка, лосось с/с, мидии, сыр дор блю, томат, лимон"
"Пицца Фирменная 30см","PIZZA_FIRMENNAYA_30","Пицца",26.00,"Салями-пепперони, Ветчина, Томаты, Сыр Дор Блю, сыр Моцарелла, специи"
"Пицца Фирменная 40см","PIZZA_FIRMENNAYA_40","Пицца",40.00,"Салями-пепперони, Ветчина, Томаты, Сыр Дор Блю, сыр Моцарелла, специи"
"Пицца Фирменная 30см + Сырный борт","PIZZA_FIRMENNAYA_30_CHEESE","Пицца",30.00,"Салями-пепперони, Ветчина, Томаты, Сыр Дор Блю, сыр Моцарелла, специи"
"Пицца Сытная 30см","PIZZA_SYTNAYA_30","Пицца",34.00,"Соус томатный, моцарелла, ветчина, бекон, филе куриное, пепперони, охотничьи колбаски, зелень, соус гриль"
"Пицца Сытная 40см","PIZZA_SYTNAYA_40","Пицца",60.00,"Соус томатный, моцарелла, ветчина, бекон, филе куриное, пепперони, охотничьи колбаски, зелень, соус гриль"
"Пицца Сытная 30см + Сырный борт","PIZZA_SYTNAYA_30_CHEESE","Пицца",38.00,"Соус томатный, моцарелла, ветчина, бекон, филе куриное, пепперони, охотничьи колбаски, зелень, соус гриль"
"Пицца Цезарь 30см","PIZZA_CEZAR_30","Пицца",26.00,"Соус чесночный, моцарелла, филе курин., томат, айсберг, пармезан, гренки"
"Пицца Цезарь 40см","PIZZA_CEZAR_40","Пицца",47.00,"Соус чесночный, моцарелла, филе курин., томат, айсберг, пармезан, гренки"
"Пицца Цезарь 30см + Сырный борт","PIZZA_CEZAR_30_CHEESE","Пицца",30.00,"Соус чесночный, моцарелла, филе курин., томат, айсберг, пармезан, гренки"
"Пицца Чизбургер 30см","PIZZA_CHEESEBURGER_30","Пицца",24.00,"Соус томатный, сыр моцарелла, филе цыпленка, огурец маринованный, сыр чеддр, соус сырный, томат свежий"
"Пицца Чизбургер 40см","PIZZA_CHEESEBURGER_40","Пицца",43.00,"Соус томатный, сыр моцарелла, филе цыпленка, огурец маринованный, сыр чеддр, соус сырный, томат свежий"
"Пицца Чизбургер 30см + Сырный борт","PIZZA_CHEESEBURGER_30_CHEESE","Пицца",28.00,"Соус томатный, сыр моцарелла, филе цыпленка, огурец маринованный, сыр чеддр, соус сырный, томат свежий"
"Мохито классический","MOJITO_CLASSIC","Безалкогольные Коктейли",8.50,"Лайм, мята, сахарный сироп, содовая, лед. Выход 400мл"
"Мохито клубничный","MOJITO_STRAWBERRY","Безалкогольные Коктейли",8.50,"Клубника, лайм, мята, сахарный сироп, содовая, лед. Выход 400мл"
"Мохито манго","MOJITO_MANGO","Безалкогольные Коктейли",8.50,"Манго, лайм, мята, сахарный сироп, содовая, лед. Выход 400мл"
"Мохито голубика","MOJITO_BLUEBERRY","Безалкогольные Коктейли",8.50,"Голубика, лайм, мята, сахарный сироп, содовая, лед. Выход 400мл"
"Мохито малина","MOJITO_RASPBERRY","Безалкогольные Коктейли",8.50,"Малина, лайм, мята, сахарный сироп, содовая, лед. Выход 400мл"
"Лимонад классический","LEMONADE_CLASSIC","Безалкогольные Коктейли",6.50,"Лимон, лайм, сахарный сироп, содовая, лед. Выход 400мл"
"Лимонад клубничный","LEMONADE_STRAWBERRY","Безалкогольные Коктейли",6.50,"Клубника, лимон, сахарный сироп, содовая, лед. Выход 400мл"
"Лимонад манго-маракуйя","LEMONADE_MANGO_PASSION","Безалкогольные Коктейли",7.00,"Манго, маракуйя, лимон, сахарный сироп, содовая, лед. Выход 400мл"
"Лимонад ягодный","LEMONADE_BERRY","Безалкогольные Коктейли",7.00,"Ассорти ягод, лимон, сахарный сироп, содовая, лед. Выход 400мл"
"Лимонад цитрусовый","LEMONADE_CITRUS","Безалкогольные Коктейли",6.50,"Лимон, лайм, апельсин, сахарный сироп, содовая, лед. Выход 400мл"
"Милкшейк ванильный","MILKSHAKE_VANILLA","Милкшейки",7.00,"Мороженое ванильное, молоко, сироп ванильный. Выход 300мл"
"Милкшейк клубничный","MILKSHAKE_STRAWBERRY","Милкшейки",7.00,"Мороженое ванильное, молоко, сироп клубничный. Выход 300мл"
"Милкшейк шоколадный","MILKSHAKE_CHOCOLATE","Милкшейки",7.00,"Мороженое шоколадное, молоко, сироп шоколадный. Выход 300мл"
"Милкшейк банановый","MILKSHAKE_BANANA","Милкшейки",7.00,"Мороженое ванильное, молоко, сироп банановый. Выход 300мл"
"Милкшейк манго","MILKSHAKE_MANGO","Милкшейки",7.50,"Мороженое ванильное, молоко, сироп манго. Выход 300мл"
"Смузи клубничный","SMOOTHIE_STRAWBERRY","Смузи",8.00,"Клубника, банан, йогурт, мед. Выход 300мл"
"Смузи манго-маракуйя","SMOOTHIE_MANGO_PASSION","Смузи",8.50,"Манго, маракуйя, банан, йогурт. Выход 300мл"
"Смузи ягодный","SMOOTHIE_BERRY","Смузи",8.00,"Ассорти ягод, банан, йогурт, мед. Выход 300мл"
"Смузи зеленый","SMOOTHIE_GREEN","Смузи",8.50,"Яблоко, киви, шпинат, банан, йогурт. Выход 300мл"
"Фреш апельсиновый","FRESH_ORANGE","Фреш",6.50,"Свежевыжатый апельсиновый сок. Выход 250мл"
"Фреш яблочный","FRESH_APPLE","Фреш",6.00,"Свежевыжатый яблочный сок. Выход 250мл"
"Фреш морковный","FRESH_CARROT","Фреш",6.00,"Свежевыжатый морковный сок. Выход 250мл"
"Фреш микс","FRESH_MIX","Фреш",7.00,"Свежевыжатый микс (апельсин, яблоко, морковь). Выход 250мл"
"Чай Rich Лимон холодный 0.5л","RICH_LEMON_05","Холодный Чай",3.60,"Холодный чай с лимоном, объем 0.5л"
